income,family_size,education_level,health_status,region_code,employment_status,age,disability_status,approved
65910.76,10,3,4,1,2,19,0,1
30763.46,2,3,5,1,2,73,0,0
79001.83,11,1,4,2,2,39,0,1
225852.14,8,5,5,2,2,68,1,0
27419.67,11,4,4,4,3,74,0,0
27420.21,6,3,2,5,2,54,0,1
241604.02,5,4,2,2,3,25,0,0
91210.17,9,4,4,2,0,24,0,1
20673.97,1,3,3,4,0,31,0,0
69638.44,5,5,3,2,2,73,0,0
20824.78,6,5,3,1,1,72,0,0
20767.08,5,3,4,4,1,20,0,1
48550.25,6,3,4,1,1,67,0,1
3655.78,6,1,4,3,1,33,0,1
4582.95,7,3,4,3,0,72,0,1
18494.99,4,0,4,2,3,36,0,0
10770.89,11,3,3,2,1,68,0,1
52949.65,8,5,5,4,2,35,0,0
12214.4,7,3,2,1,2,69,0,1
6669.07,9,3,5,2,3,33,0,1
210823.91,7,2,4,4,0,25,0,1
27696.7,3,1,3,3,3,77,0,0
39380.81,3,4,2,1,2,50,0,0
6570.22,8,1,3,4,2,66,0,1
18896.67,5,1,2,2,2,29,0,1
41485.83,4,2,2,4,3,79,0,0
9125.32,8,4,4,4,1,70,1,1
57001.77,6,4,4,3,2,28,1,1
17663.11,2,1,4,3,2,22,0,1
25590.27,4,3,5,5,2,44,0,0
17640.49,11,3,4,1,3,29,0,1
335284.2,4,3,4,4,1,34,0,0
35732.05,6,3,2,1,3,23,1,1
10206.16,6,2,4,2,0,50,0,1
97446.02,1,3,3,2,0,22,0,1
8391.61,8,3,5,5,0,74,1,1
46659.71,6,4,4,5,1,45,0,0
3457.83,3,3,4,1,2,31,0,0
7377.4,9,2,2,1,0,22,1,1
45992.49,2,2,5,4,0,71,0,0
88094.02,11,3,4,2,3,73,0,0
44606.82,8,4,2,1,3,76,0,1
31609.79,10,3,3,3,3,50,0,1
25302.93,3,3,4,3,3,79,0,0
6159.64,5,4,2,5,2,67,0,1
15308.86,6,3,5,2,0,65,1,1
20894.34,10,2,3,2,2,58,0,1
129126.35,6,4,2,3,2,36,0,0
54849.15,4,2,4,4,1,39,0,0
4378.02,3,3,3,3,2,22,0,1
53578.37,4,5,4,3,0,76,0,0
22877.32,1,0,2,2,1,19,0,1
16118.03,4,1,1,4,2,47,0,1
75660.5,1,2,4,2,2,64,0,0
125141.38,1,5,4,1,2,56,0,0
111027.83,10,1,4,3,2,21,0,0
13265.73,6,0,4,2,0,50,0,1
25057.92,5,1,4,1,0,30,0,1
54041.96,11,1,2,4,3,37,0,1
117084.85,4,0,3,3,2,71,0,0
20434.72,11,3,5,4,0,24,0,1
29062.65,3,3,4,2,3,32,0,0
9627.68,1,2,4,4,1,40,0,0
8643.41,6,2,3,1,2,31,0,1
96281.45,2,1,3,2,0,40,0,1
184884.77,8,2,4,5,2,36,0,0
33309.16,10,3,5,4,2,71,0,0
121083.96,5,4,4,3,1,46,0,0
56047.97,7,0,4,2,3,73,0,0
16745.02,10,3,4,4,2,37,0,1
56031.8,2,2,2,3,1,46,0,1
229956.14,8,4,3,4,1,41,0,0
34787.34,2,4,2,4,1,35,0,0
237416.77,4,3,3,1,0,27,0,1
1566.04,1,2,5,1,2,58,0,0
97370.93,5,5,3,3,3,74,0,0
40314.1,9,0,4,1,2,25,0,1
25366.66,1,1,2,2,1,43,0,1
40542.78,9,2,3,5,0,79,1,1
